"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error","lambda"
0.0123284673944207,3.78647900941465,1.31928569408829e-07,"settled",NA,2.05
0.0231012970008316,3.78647900941465,1.31929099175693e-07,"settled",NA,2.05
0.0432876128108306,3.78647900941465,1.31929092295983e-07,"settled",NA,2.05
0.0811130830789687,3.78647900941465,1.31929092734366e-07,"settled",NA,2.05
0.151991108295293,3.78647900941465,1.3192909305442e-07,"settled",NA,2.05
0.28480358684358,3.78647900941465,1.31929092994434e-07,"settled",NA,2.05
0.533669923120631,3.78647900941465,1.31929093178774e-07,"settled",NA,2.05
1,3.78647900941465,1.31929093161897e-07,"settled",NA,2.05
0.001,5.281951900505,1.768681934639e-07,"settled",NA,2.05
0.00187381742286038,5.281951900505,1.96483573787478e-07,"settled",NA,2.05
0.00351119173421513,5.281951900505,2.02330246485146e-07,"settled",NA,2.05
0.00657933224657568,5.281951900505,2.03156122750979e-07,"settled",NA,2.05
0.0123284673944207,5.281951900505,2.03201239322858e-07,"settled",NA,2.05
0.0231012970008316,5.281951900505,2.03202024958837e-07,"settled",NA,2.05
0.0432876128108306,5.281951900505,2.03202025847115e-07,"settled",NA,2.05
0.0811130830789687,5.281951900505,2.03202024746238e-07,"settled",NA,2.05
0.151991108295293,5.281951900505,2.0320202407205e-07,"settled",NA,2.05
0.28480358684358,5.281951900505,2.032020237269e-07,"settled",NA,2.05
0.533669923120631,5.281951900505,2.03202023658309e-07,"settled",NA,2.05
1,5.281951900505,2.03202023405782e-07,"settled",NA,2.05
0.001,7.36806299728077,2.65889873065855e-07,"settled",NA,2.05
0.00187381742286038,7.36806299728077,2.93252361937583e-07,"settled",NA,2.05
0.00351119173421513,7.36806299728077,3.0140816847944e-07,"settled",NA,2.05
0.00657933224657568,7.36806299728077,3.02560220312507e-07,"settled",NA,2.05
0.0123284673944207,7.36806299728077,3.02623140226456e-07,"settled",NA,2.05
0.0231012970008316,7.36806299728077,3.02624163365578e-07,"settled",NA,2.05
0.0432876128108306,7.36806299728077,3.02624167239591e-07,"settled",NA,2.05
0.0811130830789687,7.36806299728077,3.02624167165481e-07,"settled",NA,2.05
0.151991108295293,7.36806299728077,3.0262416709598e-07,"settled",NA,2.05
0.28480358684358,7.36806299728077,3.02624167044493e-07,"settled",NA,2.05
0.533669923120631,7.36806299728077,3.02624166902e-07,"settled",NA,2.05
1,7.36806299728077,3.02624167042929e-07,"settled",NA,2.05
0.001,10.2780853280219,3.90070754914622e-07,"settled",NA,2.05
0.00187381742286038,10.2780853280219,4.28240081689244e-07,"settled",NA,2.05
0.00351119173421513,10.2780853280219,4.39617044210385e-07,"settled",NA,2.05
0.00657933224657568,10.2780853280219,4.41224103707258e-07,"settled",NA,2.05
0.0123284673944207,10.2780853280219,4.41311851100392e-07,"settled",NA,2.05
0.0231012970008316,10.2780853280219,4.41313209116934e-07,"settled",NA,2.05
0.0432876128108306,10.2780853280219,4.41313189123385e-07,"settled",NA,2.05
