"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","theta","interaction_resource","knife_edge_size"
20,0.293704909319349,0.0166750415165228,0.000804521511968285,0.292900387807381,0.0892936922350001,1.84633742606975,1,1.3,7
25,0.304117807818811,0.0169465957100794,0.000371954004660682,0.30374585381415,0.0857597047852031,1.82817415093647,1,1.3,7
30,0.238557290109073,0.00903669045949302,0.000331307496803593,0.238225982612269,0.12144825657792,1.89715721926039,1,1.3,7
50,0.159722599536663,0.00699954049134131,0.000177357856656231,0.159545241680007,0.191495627093302,1.88953304541596,1,1.3,7
100,0.0686526483921977,0.0331621832895557,0.000112858438985302,0.0685397899532124,0.330597994495323,1.03866039260992,1,1.3,7
1,0.213447373948277,0.20735403301317,0.0111302625194207,0.202317111428856,0.0494374465652917,0.0553244383981447,1,2,5
3,0.221913276934531,0.140086796757698,0.00558357028977994,0.216329706644751,0.0854960053443582,0.645714174375951,1,2,5
5,0.270720163403344,0.0982612220272955,0.00393683372269265,0.266783329680651,0.0856461173606956,1.09944099085628,1,2,5
9,0.314518941184784,0.065192104153452,0.00197169602831768,0.312547245156466,0.0984132120600585,1.4231063597507,1,2,5
15,0.29491463272308,0.0312024617565827,0.000665069222691604,0.294249563500388,0.10299770632199,1.69017407177427,1,2,5
20,0.238577613355548,0.0153282622891958,0.000504580195961031,0.238073033159587,0.129359381545576,1.82354238858728,1,2,5
25,0.239924824862365,0.0125601935649869,0.000182866383764037,0.239741958478601,0.101300162647018,1.83369034979595,1,2,5
30,0.187546316338058,0.0172032589722697,0.000143321036619606,0.187402995301438,0.145161626348456,1.74224449815441,1,2,5
50,0.0885839731629798,0.00345265740095356,0.000145350592207229,0.0884386225707726,0.306844418812665,1.91797588553976,1,2,5
100,0.0269058454369142,0.0269049072956243,4.80880332492376e-05,0.026857757403665,0.295067742871227,5.4736523411728e-05,1,2,5
1,0.216057216881627,0.212639750825332,0.0124426990451223,0.203614517836504,0.0283256136073883,0.0312257497128776,1,2,7
3,0.202185525536613,0.177132822341621,0.00805891342962986,0.194126612106983,0.0672063736171537,0.233331637546026,1,2,7
5,0.218203352541626,0.138744049757959,0.00491452416541987,0.213288828376206,0.0748304984784208,0.63215632200983,1,2,7
9,0.260139088387285,0.0993518261860047,0.00292253749713998,0.257216550890145,0.0824914259613529,1.05506382535841,1,2,7
15,0.251642553049487,0.0603055470722898,0.00196266391515269,0.249679889134335,0.112498818095546,1.39794041566474,1,2,7
20,0.244171049039904,0.0446568846291038,0.00130935732521301,0.242861691714691,0.118218592100005,1.52780766179081,1,2,7
25,0.246128010688816,0.0543487648797101,0.000693258359288866,0.245434752329527,0.103541090936649,1.41816598516374,1,2,7
30,0.250072334868596,0.0287071718735451,0.000397497500141491,0.249674837368455,0.0955012754091442,1.65353152433289,1,2,7
50,0.183556101282315,0.0302781935368529,0.000173672425644964,0.18338242885667,0.141096110442413,1.55649054011944,1,2,7
100,0.113463990595144,0.0203147442854411,7.42562625097981e-05,0.113389734332635,0.259672175008184,1.54643572382007,1,2,7
