"D","alpha","beta","gamma","beta_gamma","B","Cc","disc","sum_positive","disc_nonneg","hopf_possible"
0.07071284778943,0.117854746315717,0.6,0.0235709492631433,0.014142569557886,-0.0143953978866301,0.00120007364219786,-0.00459306708847706,TRUE,FALSE,FALSE
0.0740568469226244,0.123428078204374,0.6,0.0246856156408748,0.0148113693845249,-0.0143882482798247,0.00131625997826905,-0.0050580182245143,TRUE,FALSE,FALSE
0.0775589832338901,0.129264972056484,0.6,0.0258529944112967,0.015511796646778,-0.0143141602927926,0.00144369501126596,-0.0055698848601761,TRUE,FALSE,FALSE
0.0812267350047972,0.135377891674662,0.6,0.0270755783349324,0.0162453470009594,-0.0141635204476424,0.00158346779508949,-0.00613326586888718,TRUE,FALSE,FALSE
0.0850679341636416,0.141779890272736,0.6,0.0283559780545472,0.0170135868327283,-0.0139256363797076,0.00173677282148872,-0.00675316793737504,TRUE,FALSE,FALSE
0.0890907830093414,0.148484638348902,0.6,0.0296969276697805,0.0178181566018683,-0.0135886253781322,0.00190492022813221,-0.00743503017286164,TRUE,FALSE,FALSE
0.0933038717262037,0.155506452877006,0.6,0.0311012905754012,0.0186607743452407,-0.0131392918040929,0.00208934699498397,-0.00818474699082278,TRUE,FALSE,FALSE
0.0977161967269618,0.16286032787827,0.6,0.0325720655756539,0.0195432393453924,-0.0125629922941672,0.00229162922466775,-0.0090086881232877,TRUE,FALSE,FALSE
0.102337179863252,0.170561966438753,0.6,0.0341123932877507,0.0204674359726504,-0.0118434875498464,0.00251349561176727,-0.0099137142497257,TRUE,FALSE,FALSE
0.10717668854455,0.178627814240917,0.6,0.0357255628481835,0.0214353377089101,-0.0109627793973325,0.00275684221617013,-0.010907186332566,TRUE,FALSE,FALSE
0.112245056808531,0.187075094680885,0.6,0.0374150189361769,0.0224490113617061,-0.00990093167355037,0.00302374866670807,-0.011996966218828,TRUE,FALSE,FALSE
0.117553107387837,0.195921845646395,0.6,0.039184369129279,0.0235106214775674,-0.00863587335364497,0.00331649593356872,-0.0131914054256947,TRUE,FALSE,FALSE
0.123112174820389,0.205186958033982,0.6,0.0410373916067964,0.0246224349640778,-0.00714318218091662,0.00363758582136145,-0.014499318233776,TRUE,FALSE,FALSE
0.128934129652572,0.214890216087619,0.6,0.0429780432175239,0.0257868259305143,-0.00539584689084493,0.00398976234942387,-0.015929934234026,TRUE,FALSE,FALSE
