"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","theta","interaction_resource","total_unfished_ref","fraction_of_unfished"
70,0.367658170391857,0.0141677679313998,0.000864135177026386,0.366794035214831,0.060489462391847,1.88846205008725,10,1,0.7,0.638857029889724,0.575493660068701
85,0.360865665898873,0.00962619791580711,0.000726707745904831,0.360138958152968,0.0617701584019107,1.92179196810444,10,1,0.7,0.638857029889724,0.564861383713917
100,0.355390830554827,0.00850986126406921,0.000628557339472986,0.354762273215354,0.0628557339472986,1.92952696837277,10,1,0.7,0.638857029889724,0.556291648878266
1,0.655930799633128,0.408772068331461,0.00702474683307657,0.648906052800051,0.000718180851860172,0.569165013912784,15,1,0.7,0.638857029889724,1.02672549403792
5,0.683808036249373,0.43668504652456,0.00702085867743537,0.676787177571938,0.00225947230899935,0.533055615434607,15,1,0.7,0.638857029889724,1.07036160558084
9,0.691577872236273,0.447065730366517,0.00696244172693838,0.684615430509335,0.00293799986982746,0.517909609593519,15,1,0.7,0.638857029889724,1.082523694473
20,0.696056807299207,0.456320347671422,0.00683817550705671,0.68921863179215,0.00364837293120786,0.502520518278647,15,1,0.7,0.638857029889724,1.08953455113323
50,0.696446223279653,0.46119890625266,0.00671490011059719,0.689731323169055,0.00409241563328731,0.492771003639122,15,1,0.7,0.638857029889724,1.0901441021943
70,0.69625126368148,0.462114877395589,0.0066842467972133,0.689567016884266,0.00418425421886788,0.49070906777507,15,1,0.7,0.638857029889724,1.08983893282299
85,0.696131307408445,0.462515490062933,0.00666989509933511,0.68946141230911,0.00422550085497574,0.489776771444295,15,1,0.7,0.638857029889724,1.089651165815
100,0.696034398046989,0.46279444504789,0.00665954024995546,0.689374857797034,0.0042546398246757,0.489115771065454,15,1,0.7,0.638857029889724,1.08949947403277
1,0.391074732347092,0.0799710338061258,0.010421701961177,0.380653030385915,0.0600726740763405,1.50354185183476,3,1,1,0.380343926737546,1.0282134269938
5,0.403639683473766,0.0363434110847737,0.00178488692379909,0.401854796549967,0.115730249716254,1.76183684831276,3,1,1,0.380343926737546,1.06124918816515
9,0.335622970496171,0.0159775264592688,0.000540078106865131,0.335082892389306,0.176172464328413,1.87167709197754,3,1,1,0.380343926737546,0.882419691501388
20,0.0559041354259067,0.00644544072933486,0.000337857785844708,0.055566277640062,0.272879258937003,1.79414522106308,3,1,1,0.380343926737546,0.146983115795834
50,9.85091583658413e-10,5.90369268749706e-15,4.66320292189026e-13,9.84625263366224e-10,9.01504051357952e-09,1.99999811080099,3,1,1,0.380343926737546,2.59000213861222e-09
70,9.9940567586058e-15,4.56549998472512e-25,7.60707573196446e-19,9.99329605103261e-15,1.11552688553203e-13,1.9999999999905,3,1,1,0.380343926737546,2.62763674033953e-14
85,1.26323832563499e-17,4.82351553637671e-31,2.87543258086075e-22,1.26320957130918e-17,1.57443370815478e-16,1.99999999999999,3,1,1,0.380343926737546,3.32130536819819e-17
100,6.07506427944346e-20,7.23544818077359e-36,4.59987972998582e-25,6.07501828064616e-20,8.27524462171689e-19,2,3,1,1,0.380343926737546,1.59725549755801e-19
1,0.388213712359905,0.0874618508447393,0.0112975657344747,0.37691614662543,0.0343851394427728,1.45287715508275,5,1,1,0.380343926737546,1.02069123514043
5,0.401465417772279,0.0420376242294113,0.00268701399662153,0.398778403775658,0.0766131832475627,1.73255867112932,5,1,1,0.380343926737546,1.0555326102244
9,0.390441643659221,0.0241632181007063,0.000993768759671397,0.38944787489955,0.0921749123476133,1.83020236255623,5,1,1,0.380343926737546,1.02654891063541
20,0.213735202836755,0.00412203037884119,0.000263271445207788,0.213471931391548,0.179564023795899,1.9492320694409,5,1,1,0.380343926737546,0.561952453586152
50,0.0194448121332264,0.0136897830368891,5.1921943013291e-05,0.0193928901902131,0.113507538213215,0.603314394442726,5,1,1,0.380343926737546,0.0511242871682401
70,0.000652396401691319,0.000263680937449464,6.56920311971993e-07,0.000651739481379347,0.00442074597094322,1.43155778054249,5,1,1,0.380343926737546,0.00171528018677028
85,2.31448481900386e-05,8.09961986300533e-07,1.13596434736014e-08,2.3133488546565e-05,0.000172638198375026,1.97275523602942,5,1,1,0.380343926737546,6.08524195155864e-05
100,1.9474933738464e-06,6.60846982187121e-09,4.89750398483936e-10,1.94700362344792e-06,1.55734785321724e-05,1.99811056957367,5,1,1,0.380343926737546,5.12034828727595e-06
